Puesto,Empresa,Ubicación,Link
Supervisor Técnico en Telecomunicaciones en Altura/ Torrista,Experis,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/supervisor-tecnico-en-telecomunicaciones-en-altura-torrista-experis-1117840109.html
Analista Administrativo/ contable - inglés avanzado,Experis,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-administrativo-contable-ingles-avanzado-experis-1117839962.html
Desarrollador/a frontend,Universidad Torcuato Di Tella,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-a-frontend-universidad-torcuato-di-tella-1117849611.html
ANALISTA TECNICO FUNCIONAL SOFTLAND,Actualizado hace 56 minutos,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-tecnico-funcional-softland-consultora-theorema-1117849528.html
Jefe de Calidad,Manpower,"La Plata, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-de-calidad-manpower-1117848898.html
Tester Manual de Desarrollos,FLEXXUS SA,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/tester-manual-de-desarrollos-flexxus-sa-1117848864.html
Administrador de servidores - Operador NOC,Gigared S.A.,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/administrador-de-servidores-operador-noc-gigared-s.a.-1117846537.html
Soporte Técnico IT Nivel 1 (Canning),SOUTH AMERICA IMPLANTS SA,"Canning, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-it-nivel-1-canning-south-america-implants-sa-1117845907.html
Front-End Developer UI/UX Designer,AccelRH,Buenos Aires,https://www.bumeran.com.ar/empleos/front-end-developer-ui-ux-designer-accelrh-1117788714.html
Administrador de VMware- Importante Empresa Financiera,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/administrador-de-vmware-importante-empresa-financiera-acciona-it-1117849563.html
Jefe IT (Zona Norte- GBA),HuCap,"Belén de Escobar, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-it-zona-norte-gba-hucap-1117848752.html
Analista Funcional Senior- Empresa Líder Regional de Energía,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-senior-empresa-lider-regional-de-energia-acciona-it-1117848599.html
Administrador de Infraestructura Cloud,ACCIONA IT,"Martínez, Buenos Aires",https://www.bumeran.com.ar/empleos/administrador-de-infraestructura-cloud-acciona-it-1117848325.html
Desarrollador Full Stack Java Semi Senior,JPH Lions,"Villa Martelli, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-full-stack-java-semi-senior-jph-lions-1117837433.html
Analista Programador de SAGE X3,Maria Lujan Uballes,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-programador-de-sage-x3-maria-lujan-uballes-1117837029.html
SRE – DevOps Engineer - Remoto - 1526,Aliantec,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/sre--devops-engineer-remoto-1526-aliantec-1117840923.html
"Gerente ejecutivo - Mix (Onsite-Remoto) - C.A.B.A., Argentina,",Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/gerente-ejecutivo-mix-onsite-remoto-c.a.b.a.-argentina-aliantec-1117839600.html
