Puesto,Empresa,Ubicación,Link
Analista de Control de Gestión SSr./ Sr.,ELECTROPELBA SA,"Boulogne, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-ssr.-sr.-electropelba-sa-1117855694.html
Supervisor de Producción para Panificadora - Zona Norte GBA,Confidencial,"Florida Oeste, Buenos Aires",https://www.bumeran.com.ar/empleos/supervisor-de-produccion-para-panificadora-zona-norte-gba-1117835957.html
ADMINISTRATIVO CONTABLE SENIOR,Actualizado hace 3 horas,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/administrativo-contable-senior-1117848639.html
STORE MANAGER PARA SHOPPING,Actualizado hace 2 horas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/store-manager-para-shopping-1117847122.html
"vendedor call center , telemarketer concesionario oficial",Actualizado hace 8 horas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/vendedor-call-center-telemarketer-concesionario-oficial-imola-1117847009.html
STORE MANAGER PARA SHOPPING,Actualizado hace 2 horas,"Mendoza, Mendoza",https://www.bumeran.com.ar/empleos/store-manager-para-shopping-1117839030.html
supervisor planes de ahorro autos,Actualizado hace 8 horas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/supervisor-planes-de-ahorro-autos-imola-1117840123.html
Supervisor Técnico en Telecomunicaciones en Altura/ Torrista,Experis,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/supervisor-tecnico-en-telecomunicaciones-en-altura-torrista-experis-1117840109.html
Analista Administrativo/ contable - inglés avanzado,Experis,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-administrativo-contable-ingles-avanzado-experis-1117839962.html
SUPERVISOR DE VENTA,Actualizado ayer,"Ramos Mejía, Buenos Aires",https://www.bumeran.com.ar/empleos/supervisor-de-venta-el-galgo-1117839243.html
vendedor de plan de ahorro,Actualizado hace 5 horas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/vendedor-de-plan-de-ahorro-autocar-1117838326.html
